Source,Target,Type,Id,Label,Weight
7,4,Undirected,1,,1.0
34,6,Undirected,1,,1.0
2,6,Undirected,1,,1.0
6,41,Undirected,1,,2.0
41,6,Undirected,1,,2.0
6,26,Undirected,1,,3.0
34,32,Undirected,1,,2.0
27,26,Undirected,1,,2.0
26,29,Undirected,1,,1.0
15,31,Undirected,1,,3.0
31,32,Undirected,1,,1.0
13,41,Undirected,1,,1.0
5,21,Undirected,1,,1.0
21,1,Undirected,1,,3.0
39,18,Undirected,1,,2.0
18,20,Undirected,1,,1.0
1,39,Undirected,1,,1.0
39,37,Undirected,1,,1.0
37,40,Undirected,1,,1.0
22,23,Undirected,1,,2.0
38,31,Undirected,1,,1.0
1,20,Undirected,1,,3.0
31,13,Undirected,1,,1.0
7,41,Undirected,1,,1.0
41,35,Undirected,1,,1.0
24,43,Undirected,1,,3.0
9,28,Undirected,1,,2.0
7,16,Undirected,1,,1.0
22,20,Undirected,1,,1.0
20,36,Undirected,1,,1.0
16,31,Undirected,1,,3.0
24,2,Undirected,1,,2.0
18,6,Undirected,1,,1.0
24,3,Undirected,1,,1.0
6,16,Undirected,1,,1.0
16,10,Undirected,1,,1.0
10,2,Undirected,1,,1.0
43,24,Undirected,1,,2.0
24,10,Undirected,1,,1.0
10,34,Undirected,1,,1.0
15,13,Undirected,1,,2.0
4,26,Undirected,1,,1.0
12,24,Undirected,1,,2.0
24,27,Undirected,1,,2.0
18,13,Undirected,1,,2.0
31,10,Undirected,1,,1.0
9,6,Undirected,1,,1.0
21,23,Undirected,1,,1.0
23,14,Undirected,1,,1.0
9,2,Undirected,1,,1.0
1,22,Undirected,1,,1.0
13,26,Undirected,1,,1.0
2,29,Undirected,1,,1.0
29,27,Undirected,1,,1.0
27,30,Undirected,1,,3.0
23,16,Undirected,1,,1.0
23,18,Undirected,1,,1.0
4,18,Undirected,1,,1.0
12,27,Undirected,1,,1.0
27,43,Undirected,1,,1.0
24,18,Undirected,1,,2.0
18,24,Undirected,1,,1.0
24,26,Undirected,1,,2.0
26,9,Undirected,1,,3.0
9,12,Undirected,1,,1.0
5,12,Undirected,1,,2.0
21,43,Undirected,1,,2.0
43,18,Undirected,1,,1.0
43,34,Undirected,1,,2.0
34,18,Undirected,1,,1.0
18,41,Undirected,1,,1.0
8,2,Undirected,1,,1.0
7,37,Undirected,1,,1.0
15,26,Undirected,1,,2.0
30,16,Undirected,1,,1.0
16,6,Undirected,1,,1.0
3,24,Undirected,1,,2.0
15,6,Undirected,1,,1.0
37,16,Undirected,1,,2.0
2,31,Undirected,1,,1.0
31,2,Undirected,1,,1.0
14,22,Undirected,1,,1.0
22,8,Undirected,1,,1.0
28,10,Undirected,1,,2.0
10,36,Undirected,1,,1.0
9,33,Undirected,1,,1.0
33,2,Undirected,1,,1.0
2,8,Undirected,1,,1.0
8,11,Undirected,1,,1.0
9,30,Undirected,1,,1.0
30,18,Undirected,1,,1.0
3,26,Undirected,1,,1.0
26,21,Undirected,1,,1.0
43,11,Undirected,1,,2.0
12,18,Undirected,1,,1.0
18,35,Undirected,1,,1.0
35,24,Undirected,1,,1.0
2,33,Undirected,1,,1.0
2,43,Undirected,1,,1.0
1,10,Undirected,1,,2.0
10,37,Undirected,1,,1.0
37,31,Undirected,1,,1.0
28,3,Undirected,1,,1.0
28,6,Undirected,1,,1.0
4,42,Undirected,1,,1.0
42,23,Undirected,1,,1.0
23,11,Undirected,1,,1.0
11,24,Undirected,1,,1.0
34,23,Undirected,1,,1.0
34,11,Undirected,1,,1.0
11,9,Undirected,1,,1.0
11,21,Undirected,1,,1.0
4,17,Undirected,1,,1.0
4,36,Undirected,1,,1.0
13,23,Undirected,1,,2.0
2,3,Undirected,1,,1.0
3,23,Undirected,1,,2.0
23,4,Undirected,1,,2.0
37,9,Undirected,1,,1.0
7,35,Undirected,1,,1.0
35,5,Undirected,1,,1.0
12,17,Undirected,1,,1.0
17,25,Undirected,1,,1.0
39,4,Undirected,1,,1.0
42,25,Undirected,1,,2.0
26,16,Undirected,1,,1.0
23,35,Undirected,1,,1.0
35,1,Undirected,1,,1.0
1,31,Undirected,1,,2.0
16,15,Undirected,1,,1.0
26,6,Undirected,1,,1.0
6,30,Undirected,1,,1.0
16,30,Undirected,1,,1.0
30,24,Undirected,1,,1.0
31,12,Undirected,1,,1.0
30,5,Undirected,1,,1.0
27,32,Undirected,1,,1.0
5,24,Undirected,1,,2.0
34,19,Undirected,1,,1.0
31,11,Undirected,1,,2.0
28,9,Undirected,1,,1.0
5,1,Undirected,1,,2.0
3,34,Undirected,1,,1.0
34,5,Undirected,1,,1.0
39,17,Undirected,1,,1.0
17,36,Undirected,1,,1.0
36,35,Undirected,1,,1.0
35,14,Undirected,1,,1.0
14,5,Undirected,1,,1.0
13,20,Undirected,1,,1.0
20,22,Undirected,1,,1.0
22,35,Undirected,1,,1.0
35,37,Undirected,1,,1.0
6,18,Undirected,1,,1.0
4,39,Undirected,1,,1.0
39,43,Undirected,1,,1.0
1,21,Undirected,1,,2.0
19,3,Undirected,1,,2.0
20,24,Undirected,1,,1.0
36,39,Undirected,1,,2.0
2,42,Undirected,1,,1.0
42,4,Undirected,1,,2.0
23,43,Undirected,1,,1.0
10,21,Undirected,1,,1.0
2,7,Undirected,1,,2.0
7,26,Undirected,1,,1.0
3,25,Undirected,1,,1.0
25,17,Undirected,1,,1.0
37,11,Undirected,1,,1.0
11,1,Undirected,1,,1.0
22,42,Undirected,1,,1.0
13,17,Undirected,1,,2.0
16,13,Undirected,1,,2.0
8,22,Undirected,1,,1.0
22,21,Undirected,1,,2.0
1,43,Undirected,1,,1.0
34,26,Undirected,1,,1.0
13,2,Undirected,1,,1.0
20,5,Undirected,1,,1.0
5,39,Undirected,1,,1.0
18,12,Undirected,1,,1.0
35,17,Undirected,1,,1.0
17,11,Undirected,1,,1.0
11,43,Undirected,1,,1.0
43,35,Undirected,1,,1.0
34,38,Undirected,1,,1.0
7,6,Undirected,1,,2.0
3,42,Undirected,1,,1.0
14,13,Undirected,1,,1.0
20,1,Undirected,1,,1.0
34,39,Undirected,1,,1.0
39,5,Undirected,1,,1.0
33,9,Undirected,1,,1.0
6,19,Undirected,1,,1.0
6,9,Undirected,1,,1.0
11,42,Undirected,1,,1.0
42,1,Undirected,1,,2.0
40,35,Undirected,1,,1.0
17,16,Undirected,1,,2.0
18,5,Undirected,1,,1.0
1,12,Undirected,1,,1.0
38,37,Undirected,1,,1.0
37,41,Undirected,1,,1.0
41,39,Undirected,1,,1.0
41,27,Undirected,1,,1.0
30,29,Undirected,1,,1.0
29,15,Undirected,1,,1.0
15,27,Undirected,1,,1.0
32,34,Undirected,1,,1.0
34,33,Undirected,1,,1.0
39,34,Undirected,1,,1.0
34,4,Undirected,1,,1.0
25,9,Undirected,1,,1.0
6,38,Undirected,1,,2.0
38,1,Undirected,1,,1.0
43,4,Undirected,1,,1.0
11,5,Undirected,1,,1.0
29,17,Undirected,1,,1.0
17,2,Undirected,1,,1.0
6,13,Undirected,1,,1.0
38,4,Undirected,1,,1.0
4,20,Undirected,1,,1.0
20,6,Undirected,1,,1.0
30,35,Undirected,1,,1.0
35,20,Undirected,1,,1.0
42,24,Undirected,1,,1.0
24,42,Undirected,1,,1.0
37,36,Undirected,1,,1.0
26,32,Undirected,1,,1.0
32,30,Undirected,1,,1.0
30,12,Undirected,1,,1.0
16,38,Undirected,1,,1.0
26,28,Undirected,1,,1.0
10,5,Undirected,1,,1.0
24,5,Undirected,1,,1.0
4,6,Undirected,1,,1.0
38,30,Undirected,1,,1.0
11,19,Undirected,1,,1.0
23,28,Undirected,1,,1.0
28,12,Undirected,1,,1.0
3,29,Undirected,1,,2.0
29,3,Undirected,1,,1.0
27,15,Undirected,1,,1.0
15,30,Undirected,1,,1.0
37,19,Undirected,1,,1.0
17,3,Undirected,1,,1.0
8,43,Undirected,1,,1.0
43,21,Undirected,1,,1.0
21,41,Undirected,1,,1.0
41,38,Undirected,1,,1.0
19,34,Undirected,1,,1.0
34,17,Undirected,1,,1.0
41,7,Undirected,1,,1.0
14,8,Undirected,1,,1.0
5,36,Undirected,1,,1.0
19,37,Undirected,1,,1.0
